
Waiting for JIT...
[19:25:36 - main - INFO] p_out_loss     nan
[19:25:36 - main - INFO] rc_loss        nan
[19:25:36 - main - INFO] ru_loss        nan
[19:25:36 - main - INFO] rv_loss        nan
[19:25:36 - main - INFO] u_noslip_loss  nan
[19:25:36 - main - INFO] v_in_loss      nan
[19:25:36 - main - INFO] v_noslip_loss  nan
[19:25:36 - main - INFO] v_out_loss     nan
[19:25:36 - main - INFO] u_error        nan
[19:25:36 - main - INFO] v_error        nan
[19:25:36 - main - INFO] ----------------------------
[19:25:36 - main - INFO] Iter: 1700     Time: 0.005
[19:25:36 - main - INFO] -------------  -------------
[19:25:36 - main - INFO] p_in_loss      nan
[19:25:36 - main - INFO] p_out_loss     nan
[19:25:36 - main - INFO] rc_loss        nan
[19:25:36 - main - INFO] ru_loss        nan
[19:25:36 - main - INFO] rv_loss        nan
[19:25:36 - main - INFO] u_noslip_loss  nan
[19:25:36 - main - INFO] v_in_loss      nan
[19:25:36 - main - INFO] v_noslip_loss  nan
[19:25:36 - main - INFO] v_out_loss     nan
[19:25:36 - main - INFO] u_error        nan
[19:25:36 - main - INFO] v_error        nan
[19:25:37 - main - INFO] ----------------------------
[19:25:37 - main - INFO] Iter: 1800     Time: 0.005
[19:25:37 - main - INFO] -------------  -------------
[19:25:37 - main - INFO] p_in_loss      nan
[19:25:37 - main - INFO] p_out_loss     nan
[19:25:37 - main - INFO] rc_loss        nan
[19:25:37 - main - INFO] ru_loss        nan
[19:25:37 - main - INFO] rv_loss        nan
[19:25:37 - main - INFO] u_noslip_loss  nan
[19:25:37 - main - INFO] v_in_loss      nan
[19:25:37 - main - INFO] v_noslip_loss  nan
[19:25:37 - main - INFO] v_out_loss     nan
[19:25:37 - main - INFO] u_error        nan
[19:25:37 - main - INFO] v_error        nan
[19:25:37 - main - INFO] ----------------------------
[19:25:37 - main - INFO] Iter: 1900     Time: 0.005
[19:25:37 - main - INFO] -------------  -------------
[19:25:37 - main - INFO] p_in_loss      nan
[19:25:37 - main - INFO] p_out_loss     nan
[19:25:37 - main - INFO] rc_loss        nan
[19:25:37 - main - INFO] ru_loss        nan
[19:25:37 - main - INFO] rv_loss        nan
[19:25:37 - main - INFO] u_noslip_loss  nan
[19:25:37 - main - INFO] v_in_loss      nan
[19:25:37 - main - INFO] v_noslip_loss  nan
[19:25:37 - main - INFO] v_out_loss     nan
[19:25:37 - main - INFO] u_error        nan
[19:25:37 - main - INFO] v_error        nan
[19:25:37 - main - INFO] ----------------------------
[19:25:37 - main - INFO] Iter: 2000     Time: 0.009
[19:25:37 - main - INFO] -------------  -------------
[19:25:37 - main - INFO] p_in_loss      nan
[19:25:37 - main - INFO] p_out_loss     nan
[19:25:37 - main - INFO] rc_loss        nan
[19:25:37 - main - INFO] ru_loss        nan
[19:25:37 - main - INFO] rv_loss        nan
[19:25:37 - main - INFO] u_noslip_loss  nan
[19:25:37 - main - INFO] v_in_loss      nan
[19:25:37 - main - INFO] v_noslip_loss  nan
[19:25:37 - main - INFO] v_out_loss     nan
[19:25:37 - main - INFO] u_error        nan
[19:25:37 - main - INFO] v_error        nan
[19:25:37 - main - INFO] ----------------------------
[19:25:37 - main - INFO] Iter: 2100     Time: 0.005
[19:25:37 - main - INFO] -------------  -------------
[19:25:37 - main - INFO] p_in_loss      nan
[19:25:37 - main - INFO] p_out_loss     nan
[19:25:37 - main - INFO] rc_loss        nan
[19:25:37 - main - INFO] ru_loss        nan
[19:25:37 - main - INFO] rv_loss        nan
[19:25:37 - main - INFO] u_noslip_loss  nan
[19:25:37 - main - INFO] v_in_loss      nan
[19:25:37 - main - INFO] v_noslip_loss  nan
[19:25:37 - main - INFO] v_out_loss     nan
[19:25:37 - main - INFO] u_error        nan
[19:25:37 - main - INFO] v_error        nan
Traceback (most recent call last):
  File "/home/pedro/PINN/jaxpi/examples/geomII/main.py", line 39, in <module>
    app.run(main)
  File "/usr/local/lib/python3.11/dist-packages/absl/app.py", line 308, in run
    _run_main(main, args)
  File "/usr/local/lib/python3.11/dist-packages/absl/app.py", line 254, in _run_main
    sys.exit(main(argv))
             ^^^^^^^^^^
  File "/home/pedro/PINN/jaxpi/examples/geomII/main.py", line 31, in main
    train.train_and_evaluate(FLAGS.config, FLAGS.workdir)
  File "/home/pedro/PINN/jaxpi/examples/geomII/train.py", line 109, in train_and_evaluate
    model.state = model.step(model.state, batch)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "<string>", line 1, in <lambda>
KeyboardInterrupt
